"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"scientific literature, visual document analysis, visual citation analysis, streamgraph, clustering",7192685,1382937;7192633;4658136;6634167;5333443;6065008;6327277;6634160;6327290;1382934;1532150;5290713;5290722;1532122;528686;6876032;5290724
C,"visual analytics process, provenance, collaboration, visualization, computer-supported cooperative work",7347627,6064996;4389011;6327298;5290771;4376131
C,"Uncertainty Visualization, Vector Field Data, Coordinated and Multiple Views, Glyph-based Techniques",7347634,6875958;5613488;5332611;4015417;6634122;6634106;5613502;6876043
C,"Visual Text Analysis, User Interface, Social Media, Demographic Analysis",7347631,7042493;6634167;6875938;6102461;6876032
C,,7347632,5613445;6065001;6065000
J,"Egocentric network, dynamic graph, network visualization, glyph-based design, visual analytics",7192725,6064994;6065001;4015425;6634116
M,,7347687,
J,"Media Analysis, Time Series Analysis, Event Detection",7192705,6634112;6102488;6400557;6400485;6634160;4677364;6875996;7042484;6065010;7042494;6400491;5333919;801851;6327272;6876015
C,,7347637,5652443
C,,7347628,4677358
C,"frame rate data, game performance evaluation, visual analytics",7347633,4658136;885098;6065021;6876044;963273
M,,7347675,
C,"Predictive Modeling, Visual Analytics, Epidemic Visualization, Spatial-Temporal Systems",7347626,6102457;729566;6875970;6634169;5613483;6876043;6064952;6327226
M,,7347676,
J,"Spatial temporal visual analytics, Geo-tagged social media, Sparsely sampling, Uncertainty, Movement",7192688,5332584;4677356;5290694;6064996;6327271;5290710;1382887;1532150;6327262;6876014;6876013
J,"visual analytics, profiling system, musicians database visualization, digital humanities, musicology",7192680,6102454;5613445;6875900;4376141;5333443;6875938;4658131;6327277;6400485;1532126;6327290;6400491;4389004;6875959;5290695;4015419;5652931;5333023;4389006;5333248;4677370;5652520
C,"Interactive Visual Analysis, Simulation-Ensemble Steering, Multi-resolution simulation",7347635,4658193;6876045;6876043;5333081;5613487
J,"Scatterplots, user interaction, model steering",7192671,6064996;6400486;6634167;5652443;6064997;4658123;6102449;6634124;6875985;146386;6065027;6634163
C,"Smart card data, origin-destination (OD), spatiotemporal visualization, clustering, machine learning",7347630,1382887;1173155
J,"Integrating Spatial and Non-Spatial Data Visualization, Visualization in Physical Sciences and Engineering, Coordinated and Multiple Views, Visual Knowledge Discovery",7192703,6875958;6064996;5613488;6634138;1249032;6634146;5290719;6876043
C,"mixed-initiative visual analytics, task modeling, recommender systems, sensemaking",7347625,6400486;6102438;6400559;6875986;7042492;4658192;6634198
J,"Visual analytics, movement data, networks, graphs, temporal aggregation, spatial aggregation, flows, clustering",7192732,6065021;6065001;6065003;1382908;5290710;6875983;4658146;6875972;801851;6400553;5333893;1532150
J,"Human motion visualization, interactive clustering, motion tracking data, expert reviews, user study",7194831,6634102;5290701;6065008;6875996;6327289;6634164;6634100;4015418;1532152;6634089;5613432;1183778;4658133;6327272;6876032
J,"Clinical diagnosis, differential hierarchy comparison, ontology, genomics, phenomics, phenotype",7192670,6102439;6634170;6634101;6102438;4658127;5290692;5290690;885091;4376152;1249030;6327270
J,"Dynamic Networks, Exploration, Dimensionality Reduction",7192717,6065001;1382908;6634085;4015425;4015433;4658146;6065027;801851
J,"Sensemaking, analytic provenance, transcription, coding, qualitative research, timeline visualization",7194834,1532788;6064996;6875913;4677365;4658129;5333020;6634110
M,,7347684,
M,,7347673,
C,,7347629,6875942;6065007;6876043;6064952;5290711;5332595
J,"Visual temporal queries, cohort definition, electronic medical records, information visualization",7192665,6064996;4389013;4035762;6875996;5652890;6876047;6634100;6634096;5290698;963273;6327272;6634163
J,"Anomaly Detection, Social Media, Visual Analysis",7185421,6327271;4015444;1183816;6876013
J,"Text visualization, topic modeling",7194832,6065006;7042493;6634167;6065008;6327294;885098;6875995;6634134
M,,7347683,
J,"Multivariate Data, Time Series, Data Reduction, Multidimensional Scaling",7192673,5332593;146402;485140;146386;4376142;5332628
J,"High Dimensional Data, Low-Dimensional Embedding, Visual Analytics, Decision Make, Tradeoffs",7194836,6634184;5332629;663916;146402;6065024;636793;5613468
J,"Visual Analytics, Knowledge Generation, Uncertainty Measures and Propagation, Trust Building, Human Factors",7192716,6875913;885679;4677385;5332611;6327294;6102473;5333020;6102435;6327255;6875967;4035759
J,"Visual knowledge discovery, Causality, Hypothesis testing, Visual evidence, High-dimensional data",7192729,1249025;4376148;6327272;4388999
J,"System, timelines, authoring environment, time-oriented data, journalism",7192669,7042493;6064996;6875900;6634168;6400557;6102461;6400485;6634160;6634170;6327293;6876042;6327248;4389006;6327274;6400530;4376131
M,,7347682,
M,,7347681,
J,"Graph based visual analytics, Centrality, Taxi trajectories, Urban network, Transportation assessment",7192687,5332593;6634127;5290707;6102455;4015419;6327262;6634174;6876014
M,,7347688,
M,,7347686,
C,,7347636,4677356;6875954;4376137;6634127;4376168;6634174;6876029;6876008
M,,7347680,
J,"visual analytics, qualitative evaluation, thinking aloud, interaction logs, eye tracking, time series data",7192649,6327295;6634168;4677361;5333878;6875959;5653598;6327297;1532837
J,"Visual Analytics, Text Analytics, Wikipedia",7192676,7042493;4389012;6875900;4376141;4658132;5652885;6065008;6400485;6634160;885098;6065010;6875967;885091
J,"Visual Analytics, Evaluation, User Studies, Ontology, Experiments, Interaction, Virtual Reality, Visualization",7192692,6327295;6327257;6876009;5613504;6876050;885086;1382904
J,"Online health communities, visual analytics, conversation analysis, thread visualization, healthcare, design study",7192683,6875938;6102441;6875946;1249028;5613458;7042494;6876000;5333919;6327248;5290722;5290711;6634134;6400554;7042496;4658138
J,"Visual analytics of documents, bibliographic data, dissemination, literature browser",7192633,6064994;6327277;7192685;5333564;5613457;4389006;6634163
M,,7347679,
J,"Visual analytics, time series analysis, order selection",7192719,6634112
M,,7347678,
M,,7347689,
M,,7347685,
M,,7347671,
M,,7347672,
J,"Transportation, schedules, kernel density estimation, visual exploration",7192706,1382894;6876004;4376143;6065004;6634127;809866;4658129;5290770;1532138;6065010;4015444;1249005
C,"Time-varying data, graph wavelets, stacked graph visualization",7347624,4677356;6876004;6634127;885098;6634174
J,"Literacy, Visualization literacy, Rasch Model, Item Response Theory",6875906,6065014
J,"Physical Visualizations, Activity Sculptures, Physical Activity, Data Sculptures, Behavioral Change",6888482,4376134;1249031;6634126
J,"Visualization Design, Symmetries, Visualization Theory",6875930,6634146;801860;5613460;5613502;568118;6634168;5290761;5290695;4376133;6634182;1249005;1382903;567784;6634108;4658127;6327249;5613434
J,"Visual analytics, multi-variate data, geographic information, geovisualization, interactive data analysis",6875987,6634146;6065027;6634127;6065022;4376135;4658126;1382904;6327268;4376137;4677350;4658146;6634111
J,"Star Coordinates, RadViz, Biplots, Axis calibration, Attribute value estimation, Data centering, Orthographic projection",6875998,5613430;6634131;146402;663916
J,"Information visualization, software visualization, timelines, traces, performance analysis",6876005,6327252;5290721;6064945;6634100
J,"User study, eye tracking, evaluation, trajectory visualization, node-link visualization, direction encoding, node splatting, halo rendering",6875968,1382886;6065011;6065001
J,"Constructive visualization, Physical visualization, Dynamic visualization, Empirical study, Token, Visualization authoring, Information visualization, Visual mapping, Novices, Visualization construction, Visual analytics",6875946,5290712;6064996;6634152;4376131;1382905;6065018;663890;6327284;6634126;5613431;4376134;6327259
J,"Design, frameworks, process, cybersecurity, nested model, decisions, models, evaluation, visualization",6876000,6327248;6065017;5290695;6634108;6634166
J,"Time navigation, direct manipulation, information visualization",6875985,6634138;6327275;6327294;4658131;6400486;6327262;6634116;1532136;6064996;4658146;6065009
J,"Multiple coordinated views, visual linking, relationships, heterogeneous data, categorical data",6875920,5290705;5613440;146402;6327256;6064995;1532788;6634146;6064990;6634192;6064997;4015424;1532152;1382895;4376140
J,"RSVP, image classification, image browsing, multimedia visualization",6875979,
J,"Visual statistics, information visualization, crowd-sourcing, empirical evaluation",6875915,6327283;6327259;6327281;6064986;6327255
J,"Information visualization, text visualization, sparklines, glyphs, design space, word-scale visualizations",6875917,6634087;4015420;6327267;6064996;4376132;6064990;6634156;5613457;1532144
J,"Graphical perception, bar charts",6876021,6327278
J,"Graph-level operations, graph visualization, visualization technique specification, graph analysis, information visualization",6875969,4658129;6102441;5613453;4658140;4376154;6102440;1173155;4015425;5613448;636793;6065003;6064996;4015424;5290699;6634087
J,"Hierarchical topic visualization, evolutionary tree clustering, data transformation",6875938,6634164;5290699;7042494;5290695;6065008;6876032;6327274;6634134;6327272;6634160;6634100
J,"Visualization design, Interactive Design, Interaction, Expressiveness, Web-based visualization",6876042,1382904;5613453;5290705;5290720;1532788;6064996;4376131;1382905;5613455;6634113;636792;6064997;6064975;6327284;636761
J,"Visualization, design, encoding, perception, model, crowdsourcing, automated visualization, visual embedding",6875950,5613436;4015420;4376133;6064993;4376151;4658146;5613441;4376146
J,"Schedule visualization, event sequence visualization, simplification, exploratory interactions, simulation",6875942,6634100;6327248;5290698;6327272
J,"Information visualization, Design study, Human-Computer Interaction",6876050,5290752;6327248;6327275;885086;346302;1382904
J,"Movement visualization, visual analytics, bikeshare, impact, visualization models, design study",6875966,6327285;6327281;6327248;6064986;6634126;5613452;6634110;1382903;6065017;6634166;4658128
J,"Multivariate Networks, Selections of Interest, Interaction, Direct Manipulation",6875972,485139;1249008;4015419;5290707;6634091;4389013;346302;4376132;4658123;5290699;4015424;4015425
J,"Connectomics, Neuroscience, Data Abstraction, Multi-Trees, Focus+Context",6875935,6634132;6327233;6875931;5290766;6102439;5290699;6065015;1183754;6634190
J,"Space-filling techniques, treemaps, distance-similarity preservation",6876012,885091;1532145;4376129;5290702;4376152;175815;4658149
J,"graphs, networks, maps, scatter plots",6876036,1249011;6064991;4658147;528686;4376149;5290706;6634178;6634168
J,"Set visualization, information visualization, direct manipulation, Euler diagrams, interaction, logical operations",6876026,5613447;5290706;6064996;4658148;6064991;6634104
J,"Orders of magnitude, bar charts, logarithmic scale",6875940,6634178;6327269;1382903;6327282;1532136;6065014;5613441;6634103
J,"flow mapping, kernel smoothing, generalization, multi-resolution mapping, graph drawing, spatial data mining",6875983,5290710;4658140;4015425;4015433;6065021;1532150;6065019;1532819
J,"Design study, investigative journalism, task and requirements analysis, text and document data, text analysis",6875900,5290709;1382900;6327293;6327248;6327294;5290725;6634160;6634128;5290715;6634168;6065008;5652940;6065017
J,"Visual analytics, pen and touch, user interfaces, interaction design, coordinated and multiple views",6876039,885086;5290713;5613431;6065018;6634113;6327284;4389013;6634155;4376140;4658129;1532136;4376133;6327275
J,"Perception, Visualization, Evaluation",6875978,6634178;5290695;4376133
J,"Visual grouping, visual hierarchy, gestalt principles, perception, visual communication",6875960,5613438;1249005
J,"Visualization, Interaction, Tabular Data, Bertin, Crossing, Crossets",6875988,4015417;6875946;6875973
J,"Schematisation, Maps, Algorithm, Design",6876003,1532145
J,"Visual knowledge discovery, sports analytics, tennis visualization",6876044,6327288;6634087;964541_07;559229;1173148
J,"Interaction, latency, exploratory analysis, interactive visualization, scalability, user performance, verbal analysis",6876022,5613437
J,"Glyphs, star glyphs, contours, perception, quantitative evaluation, similarity detection, visual comparison",6875973,6327283;4658168;6064957;1382895
J,"Animated transitions, staggered animation, visual tracking",6876010,6327259;801854;1173148;4658123;4376146
J,"Persuasive visualization, elaboration likelihood model, evaluation",6876023,6327259;6327280;6327282;6065015;6634103
J,"information visualization, graphical perception, size, layout",6875989,6327245;6327267;6064996;4389009;6634178;6064986;6634120;4015437;5613436;568118;6327283;6634121;6634103
J,"Color schemes, statistical graphics, hierarchical data",6875961,6065011;885091;1173151
J,"Sets, set visualization, sets intersections, set attributes, set relationships, multidimensional data",6876017,4658148;6634104;6064991;5613447;5290706;6064996;6064990
J,"Parameter space analysis, input-output model, simulation, task characterization, literature analysis",6876043,528680;5613437;4658193;6327298;5290748;5613487;6327293;6327248;5613488;1532136;398859;5333431;4376186;6634132;5652392;1532142;6634181;6634138;6634168;6327226;5290695;6064985;6634124;6634169;6102450;1532788;6634108;6064952;5613489;5290759;6102457;6634156;6065007
J,"Mix effects, Omitted variable bias, Simpson's paradox, Statistics",6875927,6327248;4376131
J,"Parallel vectors, feature curve extraction, ridges and valleys, parity test",6875965,1183786;1532851;809896
J,"Medical Visualization, Volume Reformation, Viewing Algorithms",6876018,1250353;6634141;964540;4376196;1183754;1250351
J,"Flow visualization, Data management, High performance visualization, Key-value store",6875971,5290737;6064941;663898;6634188;6634133;4376175
J,"Visual attention, flicker, narrative visualization",6876019,5290763;480802;1532838;5613452;6064990;4015448
J,"Reconstruction, signal processing, kernel regression, volume rendering",6876035,4376198;4658152;1250386;1532807;745311;1250387
J,"Molecular Chemistry, Topological Data Analysis, Morse-Smale Complex, Join Tree",6875922,5290727;1372235;1250376;4658183;5290753;6064966;4376193;6634161
J,"Data mining, big data, computational geography, visual processing",6875954,
J,"Aneurysm, IVUS, Wall Thickness, Wall Shear Stress, Brushing and Linking, Focus + Context",6877722,6327222;4376196;480795;6064982
J,"Computational Topology, Morse-Smale Complex, Data Analysis",6875918,6064972;4658183;4376171;4015464;6327204;6327205;1532839
J,"Uncertainty visualization, boxplots, ensemble visualization, order statistics, data depth, nonparametric statistic, functional data, parametric curves",6875964,6634129;1183769;568116;568105;6634122;5613500;6634108;5613483
J,"Multivariate Topology, Pareto Set, Simplification, Decomposition",6875963,6327204;1532839;5290764;1183774;885716;4658183
J,"Proofreading, Segmentation, Connectomics, Quantitative Evaluation",6875931,6634132;6327233
J,"Streamline behavior, vector field topology, isocline surfaces, coronal hole extraction",6875962,175773;235211;1250376
J,"Numerical optimization, topology, scalar fields",6875939,6327204;964507
J,"Data compression, floating-point arrays, orthogonal block transform, embedded coding",6876024,4015488;964531;4015464;964541_06;1250385;6327205;4376192;6327234;568138
J,"Flow visualization, Topic model, Latent Dirichlet allocation (LDA)",6875956,4658160;5613461;6065008;4015447;4658163;4015446;5613488;6064965;4658166;5290758;5613498;6634187
J,"Progressive visualization, error-based frame control, interactive volume raycasting",6875936,346321;6634108;885702;5290731
J,"Molecular visualization, solvent excluded surface, ligand excluded surface, cavity analysis",6876051,5290753;6064966;6634161
J,"Direct volume rendering, volume illumination, soft shadows, filtered shadows, summed area table",6875905,6634193;6634150;6064977;1250394;6327241;6064955;6064942;1183764
J,"Ensemble visualization, brushing and linking, statistical analysis",6875990,6634129;885739;4015461;4658178;4376198;5613483;5290755;1173157;809921
J,"Scalar field visualization, symmetry detection, contour tree, data exploration",6875976,6634132;809869;4015483;6064967;4658165;6064960;6634095
J,"Direct Volume Rendering, Ultrasound, Classification, Predicate Function, User Interface",6876031,4015460;4015450;6634153;1250413;964539
J,"Multi-resolution representations, sparse approximation, pursuit algorithms, large-scale volume rendering",6876002,4015488;6327233;809908
J,"Comparative visualization, medical visualization, vessel flattening, transcatheter aortic valve implantation (TAVI)",6875945,5290768;4376196;964540;6064970;6634145;1250353
J,"Feature extraction and tracking, particle data, volume data, particle trajectories, flow visualization",6875975,663930;567807;4376176;1250374;146391;745288
J,"Design studies, focus + context techniques, integrating spatial and non-spatial data visualization, visual design, biomedical and medical visualization",6875981,6634102;5290752;6102454;5613487;964541_07;4376198;5332593;1532857
