"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
C,"triangular and tetrahedral grid refinement, multiresolution isosurface extraction, level-of-detail",1183823,480800;663869;885745
C,"Stereo Graphics, OpenGL, Preloading",1183829,809918
C,"visualization process, visualization models, scientific and information visualization, collaboration, XML",1183791,1183816;729560;809871;480821;398857;235203;480801;346304
C,"multiphase simplification, quadric error metrics, massive meshes, out-of-core simplification",1183765,964502;964541_08;745282;745314
C,"Volume Rendering, Scientific Visualization, Medical Imaging, Ray Tracing",1183776,964498;964521;809889;745309;885698;809911;809909;346331;480792
C,"visualization, multidimensional functions",1183806,636793;528688;398859;729558
C,"isosurface, normal vectors, marching cubes, triangular mesh, topology, Gouraud shading, approximation",1183808,175782
C,"camera planning, information visualization, multidimensional visualization, navigation, scientific visualization",1183803,480803
C,"3D Geometry Compression, Algorithms, Graphics",1183807,663848;885705
C,"feature tracking, vector fields, volume visualization, biomedical imaging",1183804,964546
C,"atlas, mesh partitioning, parameterization, surface flattening, texture mapping, 3D painting",1183795,
C,"visualization, meteorology, world-wide-web",1183827,885736;480821;885678;885745
C,"Music Performance, Expressive Cue, Performance Visualization, Understanding Performance",1183815,663931
C,"Bioinformatics, Human Factors, 3-Dimensional Interaction, Multi-scale Model, Data Navigation, Virtual Environment",1183818,
C,"Flow visualization, flow topology, significance map, illumination model",1183811,567777;809906;663912;809892
C,"AMR, K-d trees, Octree, Hierarchical splatting, Texture mapping",1183820,398877
C,"anomaly detection, graph drawing, information visualization, network security",1183816,
C,"display, projection, panoramic image display",1183830,
C,"visual debugging, parallel finite element codes and simulations",1183819,809919;964543
C,"mantle convection, plumes, volume rendering, unsteady flow, feature extraction, critical points",1183813,146359
C,"unsteady vector fields, time surfaces, ocean currents, vertical velocity",1183822,809895;964541_04;885688;568149
C,"modeling, computed tomography, volume visualization",1183812,964522;964555;964531;346320
C,"scientific visualization, comparative visualization, image comparison, error metrics, human vision system, rheology",1183790,809873;568140;745332
C,"mesh compression, polygon meshes, geometric coding, linear prediction, parallelogram rule",1183768,809868;885711;809902
C,"Geometric Algebra, 3D Vector Fields, Singularities",1183786,663858;663871
C,"computed tomography angiography, vessel analysis, curved planar reformation",1183754,964555;964538
C,"Radial Basis Functions, Ultrasound, Isosurface, 3D Freehand Ultrasound, Direct Surface Extraction, Unstructured data",1183755,175782;346295
C,"progressive compression, wavelets, geometry coding, rendering",1183794,809868;885711;809902
C,"Isosurfaces, Level Set Topology, Betti Numbers",1183774,663875
C,,1183771,964541_08;809896;964502;964489;885722
C,"multimodal interaction, evaluation, navigation, speech recognition, gesture recognition, virtual reality, mobile visualization, GIS",1183802,
C,"scalar field topology, critical point, volume visualization, data exploration, isosurfaces, marching cubes",1183772,146401;663875;745284;809932;175782;885703;885705
C,"Computational Geometry, Gauss map, Illumination and shading, Interactive visualization",1183828,964529
C,"Colormaps, Color Scales, Isoluminance, Brightness Matching, Perceptually-based Visualization",1183788,480803;235201;964510
C,"virtual navigation, volume visualization, ray-casting optimization, space leaping",1183775,
C,"view-dependent mesh, level of detail, height fields, terrain, binary triangle trees, triangle bintree, multiresolution meshes, displacement maps, frame-to-frame coherence",1183783,663860;567600;745280;964533;568126;745282
C,"skeletonization, thinning, distance transform, triangulation, visualization",1183753,
C,"biological visualization, visualization, multi-representation, genetic networks, lenses, focus and context",1183781,
C,"anisotropic diffusion, surface fairing, geometric surface processing, intrinsic Laplacian of curvature, level sets",1183766,
C,"feature verification, vortex detection, flow field visualization",1183789,809896;745333;745296;398877
C,"rendering algorithms, visibility, occlusion culling",1183801,745322;745280;663863;663860;745282
C,"mesh simplification, multi resolution, level-of-detail, unstructured meshes",1183814,745329;663883;885680;745315
C,"medical visualization, computer-assisted surgery, quantitative analysis, interaction techniques",1183752,
C,"Compression Algorithms, Level of Detail Algorithms, Scientific Visualization, Volume Rendering, Wavelets",1183757,964531;809908;809889;398845;964519
C,"spectral volume rendering, post-illumination, interactive re-lighting",1183763,964519;964515;663875
C,"volume rendering, shading model, volume modeling, procedural modeling",1183764,146391
C,"View-Dependent Rendering, Isosurfaces, Multiresolution Tetrahedal Meshes, Multiresolution Techniques",1183810,885681;964533;809878;964502;663869;885705;745300;663860;964524;885703
C,"Synthetic Plants, Ecosystems, Point-based rendering, Level-of-detail Algorithms",1183778,663860;964491;964541_01
C,"isometric embedding, metric, tensor fields",1183782,235193;745316
C,"animation, visual perception, particle systems, scientific visualization, volume rendering",1183805,885742;5613473
C,"segmentation, visualization, level set models, 3D reconstruction",1183773,
C,"Lighting Design, Visualization, Illumination, Maximum Entropy, Optimization, User Study",1183785,
C,"visualization, remote sensing, renderman, shader, georegistration, color matching",1183825,
C,"non-photorealistic rendering, volume rendering, scientific visualization, medical imaging",1183777,663894;964541_01;885694;964490;964522;885696
C,"Surface Simplification, Level of Detail, Multiresolution Hierarchies, View-Dependent Rendering",1183760,809877;663860;885724;745283;480805
C,"Diffusion tensors, adaptive filtering, moving least squares, streamlines, fiber tracing, pathways, salient features",1183799,809886;235193;809894;745294;175771
C,"external memory, large datasets, walkthroughs, visibility, LODs, prefetching",1183759,964502;663927;663888;964541_08
C,"rendering, feature, multi-resolution, level of details, Voronoi diagram",1183770,964489;964541_01;964491;663909
C,"visualization, information visualization, bioinformatics, medical records",1183817,
C,"uncertainty, visualizing surface uncertainty, points as display primitives",1183769,568105;885679;964541_01;480802
C,"multiresolution triangulation, real-time terrain visualization, triangulated irregular networks, level-of-detail",1183800,663860;964533;745282;745280
C,"3D texture based volume rendering, adaptive mesh refinement data, CAVE applications, data visualization",1183824,1183820
C,"large-format tiled projection display, display wall, camera-projector systems, camera-based registration and calibration, automatic alignment, scalability, simulation, evaluation",1183793,809883;964508;885685
C,"image-based rendering, capture, reconstruction, interactive, walkthrough",1183792,480797
C,"Texture Mapping, Visibility Classification",1183787,885723
C,"remote visualization, client/server",1183758,663891;809878;745300
C,"Fire Modeling, Textured Splatting, Lattice Boltzmann Model, Graphics Hardware",1183779,398877
C,"Tensor, Visualization, Volume rendering, Glyph rendering, Hybrid rendering, Strain-rate",1183797,235193;809905;745294;480817
C,"mesh simplification, multi resolution, level-of-detail, unstructured meshes",1183767,745329;663883;809867;885680;745315;809901
C,"Visualization, Visibility, Mesh Simplification, Rendering",1183784,809869;885723
C,"uncertainty visualization, molecular conformation analysis, molecular modeling, drug design",1183780,885733
C,"volume rendering, clipping, hardware acceleration",1183762,809892;964519;809884
C,"stress, strain, shear, symmetric tensors, anti-symmetric tensors, anisotropic tensors",1183798,745316;809905;398849;175789;235193;745294
C,"isosurfaces, adaptive isosurface extraction, volume warping, adaptive tessellation",1183809,568127;885705
C,"visualization, volume rendering, shadows, illumination",1183761,745309;809909;885698;1183764
C,"level-of-detail, multiresolution modeling, out-of-core rendering, interactive large-scale visualization",1183796,663860;964502;745283;964541_08;568126;745282
C,,963291,
C,,963290,729567;235217
C,,963289,528688
C,"graph drawing, animation, interaction",963279,636718
M,,963296,
C,"botanical tree, logical tree, huge hierarchy, strands, tree visualization, directory tree, phyllotaxis",963285,528689;801860
C,,963294,729566
C,,963293,729559;636718;729565;885089;885090;528697;559226;885101
C,,963292,
C,,963274,636789;885099;528692;528686;528691
C,,963275,528686
C,"visualization, web navigation, hierarchy, interactive tree, sitemap, 3D graphics, VRML, XML",963284,636718;528692;175815
C,"Graph Drawing, Graph Visualization, Force-Directed Drawing, Orthogonal Drawing, Node Grouping, Experimental Studies",963280,
C,,963278,636786;235217;175815;636718;636784;559214;729558
C,"visualization, massive data sets, graphs, hierarchies",963282,885089
C,,963295,
C,,963287,729555;745302;398863
C,"treemaps, ordered treemaps, trees, hierarchies, information visualization ",963283,235217;175815
C,,963288,485140;398870;801867;175794;146387;146402;528690;146386
C,"Depth of Field, Focus and Context, Information Visualization",963286,885698;885088
C,,963277,
M,,963272,
C,,963281,528691;528689
C,"Information Visualization, Graph Drawing, Visualization of Time-Series Data, Data Mining ",963273,175794;885098;528685
C,"health, display algorithms, animations, 4D visualization, MRI, dynamic SPECT, direct volume rendering, isosurface, glyph",964554,398877;745294;809886
C,"Visualization, Historical Data, Interaction, Time-dependent Data, Visualization Techniques",964557,398847
C,"distance fields, volume modeling, polygonal surfaces, point-based models, graphics",964518,398877;485152;885698
C,"polygonal surface simplification, large data, out-of-core algorithms, external sorting, quadric error metrics",964502,964541_08;809910;480813;663895;745299;663888;745314;1250375;745282
C,"Meshes, multiresolution surfaces, Gaussian scale mixture model, denoising",964500,885721
C,"vector field visualization, flow visualization, tetrahedral grid, unstructured grid, flow surface",964506,398875;235211;485145;809896;663910
C,,964564,
C,"Volume Rendering, Ray-Casting, Texture Mapping, Visualization, Graphics Hardware",964521,663880;745713;663888;146391;398852;809911
C,"Scientific Visualization, DT-MRI, Diffusion, Medical Imaging, Virtual Reality",964545,809894;885731;745336;809886
C,"rendering, level-of-detail, image metrics, perception",964535,809869;885691
C,"Scientific Visualization, Archaeological Data Analysis, Immersive Virtual Reality Interfaces",964560,
C,"dataset management, mesh simplification, principal component analysis, scientific visualization",964501,745296;745312;809869
C,"Virtual Environments, Virtual Reality, Spatial Cognition, PC Graphics Cards, Culling, levels-of-detail, Texture Compression",964544,
C,"visualization, proteins, computational biology, molecular modeling, molecular dynamics, game graphics, DirectX",964547,480793
C,"feature detection, feature tracking, combustion, autoignition",964551,745288
C,"Conformal, Cortical Features, Human Brain, Flat Map, Interaction, MRI, Neuroscience, Surface",964553,
C,"Medical visualization, segmentation, automatic web service, video generation",964542,885729
C,"neuronal fiber pathway, diffusion tensor imaging",964549,
C,"visual debugging, hardware modeling, design analysis, performance optimization",964543,809919
C,,964552,636786;559214;346340
C,"cell-projection, direct volume rendering, tetrahedral meshes, unstructured meshes, visibility cycles, visibility ordering, visibility sorting, volume visualization",964514,885683
C,"feature tracking, multidimensional visualization, biomedical imaging",964546,885735
C,"Volume Rendering, Iso-Surfaces, Unstructured Grids, Combinatorial Topology",964511,567606
C,compression algorithms,964532,663902;745327;809870
C,"Computed Tomography Angiography (CTA), semi automatic segmentation, optimal path computation",964555,
C,"Natural embedding, mesh connectivity, implicit geometry, polygon meshes, shape compression",964504,
C,"vector field topology, flow visualization, unstructured grid, simplification",964507,885716;745318;175773;809907
C,"Distance fields, path planning, centerline, camera control, virtual navigation, volumetric environment, physically based modeling, virtual colonoscopy",964517,663915;885675
C,"Large-scale display, shadow removal, immersive media, calibration",964541_03,809883;809890;885684;885685;885712
C,"surface simplification, massive meshes, quadric error metric, recursive partitioning, out-of-core simplification",964541_08,964502;745282;745314
C,"Contours, mapping, height fields, multivariate visualization, flow visualization",964541_09,528686;801860;398875
C,"Volume Rendering, Splatting, Antialiasing",964490,480796;663882;745309;567608;809909
C,"Volume data visualization, surface rendering, volume rendering, isosurfaces, divergence theorem",964515,480803;663875;568112
C,,964524,885705
C,"Animation, CAD, Curves & Surfaces, Geometric Modeling, Digital Geometry Processing, Subdivision Schemes, Approximation, Quasi-Interpolation, Catmull-Clark",964541_05,
C,,964556,
C,,964512,567606
C,"rendering, simplification, multi-resolution, trianlge, points, hybrid",964491,663909;568124;745314;745283;663883;745312;964541_01;663908;663865
C,,964534,809877;809875;663860;568117;885724;745283;480805
C,"volume visualization, direct volume rendering, multi-dimensional transfer functions, direct manipulation widgets, graphics hardware",964519,480803;809908;809889;568112;663875
C,,964541_04,885689;346311;485146;885689
C,"Surface Representations, Geometric Modeling, Triangle Decimation, Multiresolution Models, Feature Extraction",964523,885721;885722
C,"Volume Rendering, Virtual Endoscopy",964540,636786;809914
C,"Subdivision surfaces, Nonmanifold surfaces, Geometric modeling",964528,809870
C,"Subdivision Surfaces, Multiresolution Surfaces, Self-interference, Gauss map, Loop's Scheme",964529,
C,"volume data,Cartesiangrid,close packing,hexagonal sampling, body centered cubic",964498,346331
C,"network visualization, active network measurement, real-time television monitoring system",964541,
C,"large-format projection display, camera-based registration and calibration",964508,885685;809890;809883;885712
C,"surface representation and reconstruction, moving least squares, point sample rendering, 3D acquisition",964489,663930;745327
C,"Rendering system, Spatial data structures, Level of detail algorithms, hybrid rendering systems",964541_01,745282
C,"Scientific Visualization, User Study, Line-integral Convolution, Two-dimensional Vector Fields, Streamlines, Iconic Textures, Image-guided Streamlines, Jittered Grid Icons, Critical Point, Advection, Fluid Dynamics, Fluid Flow",964505,175773;809905
C,"Time critical Visualization, Compression for Visualization, Volume Rendering",964531,663878
C,"interactive volume visualization,Internet-based visualization, Java",964522,885726;745311;885694;885729;6064976;346340;809878;885697
C,"Iso-values, Transfer Functions, Surface Extraction, Direct Volume Rendering",964516,745319;663875;568112
C,,964562,
C,,964499,663887;568103;175782;663869;663885;663886
C,"scattered data approximation, least squares approximation, terrain visualization, data compression",964530,663860
C,"surgical simulation, hysteroscopy, haptics",964548,
C,"Compression, high performance computing, out-of-core processing, PC, scientific visualization, texture hardware, time-varying data, transform encoding, volume rendering",964541_06,809910;346321;480809;346341;809879
C,"Perceptual color scales, visual artifacts in visualization, Internet color, human color vision",964510,480803
C,"virtual environments, virtual reality, immersion, visualization, meteorology",964559,
C,"Volume Rendering, Perspective Shear-Warp, Virtual Environments",964513,567603;809872
C,"flow visualization, multiscale image processing, non-linear diffusion, transport diffusion, upwind method",964494,480817;346312;809894;663898;809904;663912
C,"Computational Geometry, Surface Reconstruction, Geometric Modeling, Mesh Generation, Polygonal Mesh Reduction, Polygonal Modeling, Shape Recognition",964497,663909;885718
C,,964526,885686;568108
C,"3D ultrasound, classification, isosurface extraction, opacity function, splatting, the variational principle, volume rendering",964539,398877;663875
C,Temporal Bone Dissection,964561,
C,"vessel visualization, medical visualization, computer-assisted surgery",964538,663917
C,,964533,663860;663895;745280;663863;480805;663862;885699;745342;568125;745282
C,"sports visualization, virtual environment, telepresence, real-time video analysis, multi-camera tracking, multimedia indexing",964541_07,663893
C,"uncertainty, probability density function, geostatistics, conditional simulation, data assimilation",964550,
C,"Volume Rendering, Fine Details, Medical Visualization, Image Processing, Volume Textures",964541_02,663882;346340;809911;745309;809909;745311;663848
C,"Contours, Geometry Compression, Iso-surfaces, Level Sets, Multiresolution Methods, Wavelets",964525,346332;885720;885716;885705
C,"Data fusion, Photogrammetry, Line Integral Convolution, Reconstruction, Oil flow, Particle Image Velocimetry, Wind tunnel, Landing gear, Texture mapping, Image-based rendering, VRML",964563,745331
C,,885088,146402;636759;567745;663916;528686;528691;729564;175815
C,"Information Visualization, Data State Model,Reference Model, Taxonomy, Techniques, Operators",885092,636761;636792;729560
C,,885102,
C,"Information visualization, architecture, work materials, context, 
spatio-temporal order, electronic workspace ",885105,
C,"graph visualization, graph navigation, metrics, clustering",885090,801859;175773;801858;146360
C,,885091,801860;235217;729567;175815
C,,885095,528686;235198
C,,885093,636788;663889;636792;146375
C,"Portals, Multiple Views, Data Visualization",885087,528688
C,,885096,636792;528691
C,,885103,729567
C,,885099,
C,,885104,663876
C,,885101,
C,,885086,559210
C,,885094,636786;801857
C,,885098,528686;636789;729555
C,,885105_1,398883;480794
C,"visualization, massive data sets, graphs, hierarchies,
out-of-core algorithms",885089,729567;480803;398870
C,,885097,729553;729555;745302;528686;801866;636791
C,"Volume Segmentation, Segmentation Rays, Partial
Volume Voxels, Volume Rendering, Virtual Endoscopy, Virtual
Colonoscopy
",885674,809914
C,"Modeling and Simulation, Scientific Visualization, Computational Steering, Inverse Steering, Virtual Reality",885727,
C,,885715,809865;480817;346313;809863;485141;809892;567777;809904
C,"seed placement, streamline, critical point, Voronoi diagram, Poisson disk distribution",885690,146359;745291;175773;346312;146360;480819;663899;745295;809906
C,"Flow Visualization, Level-Sets, Feature Extraction,Multiscale Representation, Texture Mapping",885688,809865;809892;398877;235211;663912;809863;398875;398875;663898;663859;346312
C,"speadsheets, user interfaces, knowledge representation, scientific visualization, visualization systems, volume rendering",885678,809871;480821
C,"vector field topology, flow visualization, clustering,simplification",885716,809863;745318;175773;809907;663858
C,"volume visualization, template, visiblity, isosurface extraction, surface rendering",885673,663915;745337;745713;809912;809914
C,"large area display, tiled displays, projector graphics, color calibration",885684,809890
C,"Computational fluid dynamics, interactive design, prosthetic heart valves, visualization systems",885730,
C,"Image Processing, Geometric Modeling, Numerical Analysis",885721,809904
C,"seamless tiling, automatic alignment, projective mapping, simulated annealing ",885685,809883
C,"color MRI, independent component analysis, transfer function",885693,568112
C,,885720,346332;663871;885717
C,"oceanographic visualization, plume, acoustic imaging, centerlines",885737,745347;480789;346297;398901;567807
C,,885675,885674
C,"medical data visualization, volume visualization, distributed systems, PC graphics hardware, remote rendering",885729,568134
C,"Eulerian flow, material boundary surface, barycentric coordinates, volume fraction, Voronoi diagram",885717,175782;663887;663869
C,"information visualization, graphic design, visual design",885676,
C,"multiresolution model, level-of-detail, rendering, image metrics, perception, terrain visualization",885691,568126;745282
C,"computer vision, image processing, data visualization, volume visualization, feature extraction, morphological segmentation, Biomedical image segmentation, watershed transformation",885672,745311
C,,885722,
C,"realtime visualization, steering, symmetry, tiling, pattern formation, movies",885725,809882;568117;485141
C,,885698,809909;398877;809872
C,"differential geometry, four-dimensional spacetimes, general relativity, ray tracing, scientific visualization",885728,235196
C,"geometry, compression, coding, interactivity, mesh, reconstruction, terrain models",885711,663902;809902;809868
C,"clustering, categorization, partitioning, information
visualization, non-linear dimensionality reduction, physics-based
graph layout, cluster visualization, multidimensional information
visualization",885677,636759;528691;729561
C,"unsteady, vector field, pathlines, streakline, advection, texture, hardware, OpenGL",885689,480817;745324
C,"Volume Rendering, Isosurfaces, Unstructured
Meshes, Cell Projection, Graphics Hardware, Texture Mapping, Compositing",885683,398846;346320;809887;346308;885688;346306;663853;809878;568127;480806;745300;568121;745713
C,"Image-based rendering, ray casting, voxel-based modeling,
terrain rendering",885702,235190;745305;809900
C,,885731,175771
C,"scientific visualization, interaction animation, volume rendering, texture maps, data streaming, plasma physics",885734,
C,"molecular graphics, essential dynamics,animation, interactive exploration",885733,
C,"Visibility, Surface Classification, Rendering,
Interior Surfaces",885723,663909;480795;568111
C,,885704,235222;745315;398869;663885;809879;568103;663886;175821;175782;745298
C,"volume visualization, surface rendering, medical applications, tomographic data",885726,809911
C,"medical visualization, virtual endoscopy, visualization system",885732,809912;745337;809911
C,,885724,663865;809869;809910;809879;745329;568126;745282;663883
C,"flow visualization, multi-resolution,visualization design, meteorology, weather forecasting",885745,809918;146359;480821;809897
C,,885713,809877;480805
C,"Computational steering, design steering, concept design, multidimensional visualization, scientific data visualization",885707,809921;485157;745351;398895;398857;485143
C,"surface reconstruction, gabriel graph, linear programming, topology",885718,745286
C,"irregular grids, tetrahedral compression, volume rendering",885682,809867
C,"Volume rendering, non-photorealistic rendering, pen-and-ink rendering, 3D texture mapping",885696,568110
C,"triangular meshes, visual continuity, arbitrary topology, visualization",885719,
C,"procedure generation, uncertainty, visualization, annotation, glyphs",885679,346317;568111;568109
C,"whole field modelling, seabed
visualization, sonar technology",885743,809926;745348
C,"image-based rendering, plenoptic function, scientific visualization, special relativity",885709,146368
C,"separating surfaces, planar contours, surface construction, scanline",885706,663887;346337
C,,885744,567746_1
C,"Semi-regular meshes, subdivision, volumes, surface extraction, implicit functions, level set methods",885705,885703
C,"haptic, interface, vortex, shock, visualization, fluid dynamics, virtual environment",885686,745296;745333;568108
C,"simplification, polygonal path, mesh, CAD/CAM,
FEM, cartography",885700,745285
C,"Simplicial Complexes, Mesh Simplification,
Volume Visualization, Unstructured Grids",885680,745315;663907;745329;745312
C,"haptics, virtual reality, forcefeedback devices, interactive computer graphics",885687,568108
C,,885681,663907
C,"Terrain Rendering, Texture Mapping, Multiresolution, Level of Detail, 3D Maps",885699,745322;745285;809869;745283;745342;480805;809900;745280
C,"tetrahedral grid refinement, implicit surface approximation, level-of-detail, topological genus, critical points",885703,568127;663907;663909;745300;346334;663869
C,"compression, topology, vector fields, error metrics,clustering",885714,809865;745291;809907;745297;809863;809897;175773;663858;745284
C,"telepresence, tele-immersion, virtual reality, collaborative visualization, immersive display, augmented reality, human-computer interface",885712,568125;663893
C,"visualization, volume rendering, dynamical systems,medical applications",885697,745311;809887;568112
C,"texture mapping, Fourier analysis, sampling, parameterization, visualization",885701,
C,"vector field visualization, time-varying fields, meteorology",885738,809907;809865
C,"virtual reality, head mounted displays, human visual perception",885692,
C,"visualization, data fusion, user tasks, graphics design, meteorology, weather forecasting, demographics, energy demand prediction",885736,480821;745331
C,"Multidimensional Visualization, Vector Data Fusion, Multidimensional Geometry",885708,
C,"biomedical imaging, volume visualization,virtual reality",885735,146378;568136
C,"graphics hardware, haloed lines, illuminated lines, interactive visualization, magnetic field, plasma physics, tokamak",885742,567777
C,"geodesics, visualization features",885710,235196
C,,885740,663922;729553;146402;663868
C,"scene graphs, volume graphics, volume visualization, physical models",885741,
C,"Volume rendering, non-photorealistic rendering,illustration, lighting models, shading, visualization",885694,568111;745294;480795;885696;745319;809905;809932;146391
C,"visualization, medical, heart, data synthesis",885739,235219;809894;528688;175794;559210
C,"information visualization, 3D user interfaces, spreadsheets, inter-cell dependencies, lifting-up operation, Natto View",801861,636761
C,"Focus+context visualization, information visualization, fisheye views, formal methods, theory",801857,636786;729558
C,,801867,745301;398870
C,"data visualization, information visualization, aggregation, zoom, cartography",801863,745301;528684
C,,801851,
C,,801869,
C,"Information Visualization, Tree Visualization, Treemaps",801860,175815
C,"Evaluation, animation, real-time computer graphics, Zoomable User Interfaces (ZUIs), multiscale interfaces, Pad++",801854,
C,"Visualization framework, Life-Cycle Assessment, user tasks, computer-human interaction, domain analysis, economic input-output",801856,559210;175815
C,,801859,528689;729564;175815
C,"Dynamic Query, Database, Probabilistic Algorithms",801862,1382887;636790
C,,801855,
C,"Brushing, hierarchical representation, interactive selection, exploratory data analysis",801858,146402;559216;485139;346302;809866;567800;175815;729564
C,"Information visualization, Spreadsheet, Sensemaking, World Wide Web, Information ecologies, Log file analysis",801853,528691;528689;528686;729560;398870;528692
C,,801865,636793
C,"information visualization, text visualization, visualization, knowledge management, information retrieval",801868,729569;559228;729555;729568
C,"World Wide Web, Information Visualization, User Interface",801864,
C,"Computer systems visualization, visualization systems, superscalar processors",801852,
C,,801866,729553;745302;729555;528686;636791
C,,809915,
C,,809890,
C,"scalar field visualization, volume visualization, volume rendering, time-varying fields",809910,745713;663888;567609;745298;480809
C,"wayfinding, locomotion, navigation, exploration, collaboration, virtual reality, VRML",809893,745326;663876
C,,809891,663895;663888;745299;745297;663910
C,,809934,745321;398877
C,,809929,480821
C,"clothmodeling,wrinklemodeling,deformablemodels",809885,
C,"flow visualization, multiscale, nonlinear diffusion, segmentation",809904,398875;480817;346312;663912;567784;663898
C,,809932,568112
M,,809940,
C,"vector field visualization, topology, critical point the-
ory, C1-interpolation",809897,175773;745284;745296
C,"multi-level visualization techniques, flow visualization, flow topology",809907,175773
C,"vector field visualization, Hardy's multiquadric method, binary-space partitioning, data simplification",809863,663871;745318
C,,809899,745328;663860
C,,809920,
C,,809922,
C,,809931,
C,,809917,398849;663910;346327;568137
C,,809913,745337;745336
C,"Polygonal Mesh, Geometry Compression, Non-Manifold, Stitching",809870,663902;745327
C,"Volume Rendering, 3D Texture Mapping, Rectilinear Grid, Shading, Classification, OpenGL",809889,
C,,809884,745317;175771
C,,809874,745291;745332
C,"image warping, forward mapping, texture mapping, antialiasing, anisotropic filtering, Gouraud shading, hardware",809872,
C,,809925,
C,"Large-scale multivariate data visualization, hierarchical data exploration, parallel coordinates",809866,346302;801858;567800;485140;146386;146402;729557;485139
C,"Volume rendering, presence acceleration, run-length encoding, projection template, multiresolution volumes, interactive classification, parallel processing",809911,346319;146377;809914;235231;745713
C,,809886,146373;235193;567777;745294
C,"knowledge representations, scientific visualization, visualization systems, volume rendering",809871,480821;568112
C,"tetrahedral meshes, compression, multiresolution models, progressive incremental reconstruction",809901,745315;745329
C,,809912,745337;663915
C,"Flow Visualization, Animated LIC, Direct Volume Rendering, 3D-Textures Mapping, Interactive Volume Exploration",809892,398877;398846;485141;346313;346314;146391;663898;663897;663899
C,"Volumetric Data, Glyphs, Two-Handed Interfaces, Interactive Volume Rendering, Contour Diagrams, Stereoscopic Field Analyzer SFA, Seed Fill, Over Blending",809882,485141;568109
C,,809918,663911
C,"isosurface, time-dependent scalar field visualization, multiresolution methods, octree",809879,745343;568121;745299;745298;663895;663888;568133;568123;745350;745311;485154;663913
C,"Volume visualization, Isosurface reconstruction, Distributed Systems, Web-based Applications",809878,663891;568121;480806;175782;745300;568127
C,"large scale visualization, scientific visualization, interactive visualization, demand-driven evaluation, lazy evaluation, interpreted systems, Python",809864,235219;663888;568115;346311;398860;146360;663898;480821
C,"Image-Based Modeling and Rendering,Texture Mapping, Acceleration Techniques, Multi-Resolution, Level of Detail, Terrain Rendering, Virtual Reality, Virtual Environments",809900,745344;567746_2;745282
C,"Mixing polygons and volumes, Translucent Polygon Rendering, Volume rendering, Ray casting, Voxelization",809887,663853
C,"display, projection, spatially immersive display, panoramic image display, virtual environments, intensity blending, image-based modeling, depth, calibration, auto-calibration, structured light, camera-based registration",809883,
C,,809888,
C,"multiresolution rendering, volume visualization, hardware texture",809908,
C,"level of detail, mesh decimation, multiresolution",809869,745312;745285;745314;663908
C,"visualization, multiresolution, wavelets, orthogonality",809898,663871
C,"unsteady flow, variable speed animation, jitter, texture mapping, comparative visualization",809906,567784;663899;663898;346313;745332;745324;568116
C,,809902,745283;663883
C,"compression, streaming, progressive meshes, simplification",809868,568125
C,,809924,745342;663888;745299
C,"Polygon rendering, visibility ordering, occlusion culling",809875,
C,"Flow Visualization, Simplification, Clustering",809865,480817;346327;175789
C,,809877,568125;745314;663902;745283;480805
C,"Surface reconstruction, advancing front, triangulation",809903,663930;745286
C,,809909,745713;745311;567608;663848;745309;398877;346340
C,"metrics, steering, rendering, correlation measure",809873,663848;146360
C,,809894,398849;175789;235193;485141;745294;809886
C,,809867,745329;663869
C,,809896,745290;568137;745296;480795;346327;663894;745297;567807
C,"multiresolution modeling,level of detail,adaptive rendering, time-critical graphics",809876,568126;745282
C,,809919,568120;663930
M,,809939,
C,,809923,636786
C,,809916,568145
C,,809930,745301;528688;175794
C,,809905,745294
C,"LIC, vector field visualization, deformation",809895,346312;346313;146360;745324
C,,809936,346291;146392;398899;568110;480818
C,,809927,398870
C,,809921,485139;745351;636793;729568;567800
C,,809914,809911;663915;745713;398852
C,,809926,745348
M,,809938,
C,,729554,663920
C,,729557,559216
C,"information visualization, operators, user interactions, view/value, framework, spreadsheet, design, extensibility, visualization systems",729560,567796;559213;528686;636793;636792;175815;480801;636761
C,"Visualization, Information Retrieval,Clustering Algorithms, Textual Information",729569,559228;528686
C,"proteins, structure, alignment, fold recognition, threading, similarity, glyphs, streamlines, ribbons,amino acids",729562,567796;568116;480794
C,,729567,636787;235206
C,,729566,175794;663874;235201
C,"three-dimensional information visualization,physics-based graph layout, object-oriented visualization toolkit,multidimensional information modeling, time varying data",729561,528691;567746_1;636759;528688;559226
C,,729556,
C,"information visualization, user scenario,information analysis, document analysis",729555,636789;636793;528686;559228;636761
C,"Information visualization, disc tree,compact disc tree, plane disc tree, hierarchy",729564,528689;636792;175815;567745
C,,729563,
C,,729568,146402;346302;485140
C,,729558,636786;636718;559214
C,"information visualization, text visualization, procedural visualization, implicit surface modeling, blobby models, document clustering, information retrieval, graphics, user interfaces",729570,636761;636759;528686;568110;559228
C,,729559,
C,,729553,146386
C,"Virtual Environments, World-Wide-Web,Visualisation, Web Browsing",729565,
C,,745336,
C,"virtual reality, virtual environments, visualization, design reviews, product configuration, product structures, product attributes, CAD, PDM, EDM",745304,
C,,745307,235202;175818;663896;567746_1;485143;235207;346304
C,"surface simplification, detail preservation,texture mapping",745285,398868
